фёдор:  федор
комментарий:  комментарии комментариях
профиль:  профиль профиле
дзен:  дзен
сайт:  сайте сайта сайт
карьера:  карьера
меню:  меню
прочтение:  прочтение
поддержка:  поддержка
пожалуй:  пожалуй
голос:  голосов
версия:  версию
группа:  группы
править:  править
рейтинг:  рейтинг
хаба:  хабы
согласно:  согласно
слово:  словах
сутки:  сутки
вернуться:  вернуться
бывший:  бывшего бывший
итак:  итак
поиск:  поиск
кармаграф:  кармаграф
работать:  работать работает
ссылка:  ссылку
ошибка:  ошибку
остальной:  остальном
рассказать:  рассказать
текст:  текст
закладка:  закладки
обновить:  обновить
хороший:  лучшие
история:  истории
июн:  июн
старый:  старую
язык:  язык языка
пароль:  пароли пароль
например:  например
колонка:  колонки
бурмистров:  бурмистрова
количество:  количество
некоторый:  некоторые
дорабатываться:  дорабатываться
ура:  ура
момент:  момент
коллега:  коллега коллеги
спрашивать:  спрашивал
хабра:  хабр
александр:  александра
подходящий:  подходящий
друг:  друзей
позыв:  позывам
мера:  мере
снять:  сняли
смирнов:  смирнов
минимум:  минимум
некрасиво:  некрасиво
неудобно:  неудобно
просить:  просить
доступный:  доступны
наш:  наших
начать:  начать
самый:  самое
битый:  битую
просмотр:  просмотров
яндекс:  яндекс
понятно:  понятно
публикация:  публикации
тег:  теги
раздел:  разделы
человек:  людей
взрослый:  взрослых
похожий:  похожие
крайний:  крайней
видно:  видно
мина:  мин
технический:  техническая
настройка:  настройка
другой:  другого
вроде:  вроде
добавить:  добавить
опечатка:  опечаткам
карма:  карма
происходить:  происходит
писать:  пишите
относиться:  относится
