комментарий:  комментарии
профиль:  профиль
дзен:  дзен
говорить:  говорить
сайт:  сайте сайт
общий:  общем
меню:  меню
прочтение:  прочтение
поддержка:  поддержка
голос:  голосов
сообщество:  сообщества сообществ
имхо:  имхо
однородный:  однородного
версия:  версию
величко:  величко
рейтинг:  рейтинг
хаба:  хабы
александр:  александр
сутки:  сутки
вернуться:  вернуться
бегун:  бегун
поиск:  поиск
сеть:  сеть сетей сетях
комби:  комби
закладка:  закладки
обновить:  обновить
вариант:  вариант
жизнеспособный:  жизнеспособным
аудитория:  аудитории
область:  области
хороший:  лучшие
история:  истории
подход:  подходом подход
старый:  старую
нишевый:  нишевого
язык:  язык языка
рамка:  рамках
смотреть:  смотря
формирование:  формирование
тема:  тема
количество:  количество
огромный:  огромная
сомнительно:  сомнительно
эффект:  эффект
возникать:  возникает
хабра:  хабр
предметный:  предметной
формировать:  формировать
великий:  великая
единственно:  единственно
июл:  июл
показать:  покажет
социальный:  социальную социальных
цифра:  цифры
отдельный:  отдельная отдельном
интерес:  интереса
создавать:  создавать
создание:  создание
дешёвый:  дешевле
третий:  третьих
признак:  признаку
некий:  некой
случай:  случае
контролироваться:  контролируется
существующий:  существующего
пользователь:  пользователь
просмотр:  просмотров
яндекс:  яндекс
подумать:  подумал
публикация:  публикации
тег:  теги
введение:  введение
похожий:  похожие
контент:  контент
мина:  мин
любитель:  любителей
вызывать:  вызывает
логика:  логика
технический:  техническая
чулан:  чулан
скажем:  скажем
настройка:  настройка
деньга:  деньги
русскоязычный:  русскоязычной
добавить:  добавить
являться:  является
вопрос:  вопрос
отношение:  отношения
вещь:  вещь
бренд:  бренда
карма:  карма
сразу:  сразу
откуда:  откуда
копейка:  копейки
