многий:  многим
похожий:  похожие
июл:  июл
интересно:  интересно
хороший:  лучшие
комментарий:  комментарии
профиль:  профиль профиле
история:  истории
дзен:  дзен
список:  список
пользователь:  пользователи
старый:  старую
предлагать:  предлагайте
статистика:  статистики
сайт:  сайтов сайт сайта
карьера:  карьера
язык:  язык языка
мина:  мин
хабрахабррекомендациирейтингпредпочтение:  хабрахабррекомендациирейтингпредпочтения
прочтение:  прочтение
меню:  меню
поддержка:  поддержка
технический:  техническая
голос:  голосов
какой:  какие каких
сеть:  сетях сети
состоять:  состоят
настройка:  настройка
версия:  версию
рейтинг:  рейтинг
узнать:  узнать
количество:  количество
спрашивать:  спрашивать
хаба:  хабы
строить:  строить
три:  трем
категория:  категориям
планировать:  планируем
транслировать:  транслировать
сутки:  сутки
вернуться:  вернуться
добавить:  добавить
поиск:  поиск
далее:  далее
просмотр:  просмотров
расширить:  расширен
пользовательский:  пользовательские пользовательских
яндекс:  яндекс
хабра:  хабр
блог:  блоги
сми:  сми
предпочтение:  предпочтений
вероятно:  вероятно
следующий:  следующим
карма:  карма
публикация:  публикации
рекомендация:  рекомендации
читать:  читают
обновить:  обновить
тег:  теги
закладка:  закладки
социальный:  социальные
сбор:  сбора
некий:  некий
