жизнь:  жизнью
блог:  блог блогов
похожий:  похожие
июл:  июл
хабрахабра:  хабрахабра
блогзаголовок:  блогзаголовок
хороший:  лучшие
комментарий:  комментарии
профиль:  профиль
история:  истории
дзен:  дзен
заголовок:  заголовки
старый:  старую
язык:  язык языка
мина:  мин
прочтение:  прочтение
отражаться:  отражаются
меню:  меню
главный:  главной главную
технический:  техническая
поддержка:  поддержка
голос:  голосов
настройка:  настройка
версия:  версию
рейтинг:  рейтинг
количество:  количество
хаба:  хабы
голицын:  голицына
странно:  странно
сутки:  сутки
вернуться:  вернуться
добавить:  добавить
поиск:  поиск
пользователь:  пользователь
просмотр:  просмотров
настя:  настя
яндекс:  яндекс
хабра:  хабр
публикация:  публикации
карма:  карма
камент:  каментов
страница:  странице
жить:  живет
тег:  теги
обновить:  обновить
закладка:  закладки
