блог:  блог блога
ответ:  ответ
комментарий:  комментарии
профиль:  профиль
дзен:  дзен
заходить:  заходят
общий:  общем общего
отличаться:  отличаются
принадлежать:  принадлежит
меню:  меню
знать:  знал
ждать:  ждите
поддержка:  поддержка
прочтение:  прочтение
новинка:  новинки
захотеть:  захотел
версия:  версию
группа:  группы группу
рейтинг:  рейтинг
потенциал:  потенциал
хаба:  хабы
дмитрий:  дмитрий
сутки:  сутки
вернуться:  вернуться
понятие:  понятий
поиск:  поиск
мысль:  мысли
обсудить:  обсудить
закладка:  закладки
обновить:  обновить
сюда:  сюда
инф:  инфу
интересно:  интересно
хороший:  лучшие
история:  истории
старый:  старую
собираться:  собираюсь
никто:  никто
писать:  писать
интересный:  интересны интересна
язык:  язык языка
салага:  салага
идея:  идею
уверенный:  уверен
тема:  тема тему теме
новость:  новость новостей
хабра:  хабре хабр
взгляд:  взглядов
количество:  количество
робот:  робот
плохой:  плохой
интернет:  интернете
хотеть:  хочу
узкий:  узкой
очевидный:  очевидном
многий:  многим
июл:  июл
хабрахабра:  хабрахабра
примерно:  примерно
правильно:  правильно
смеяться:  смейтесь
поместить:  помещу
брендинг:  брендинг
один:  одну
читать:  читать читает
пользователь:  пользователь
просмотр:  просмотров
яндекс:  яндекс
публикация:  публикации
придумать:  придумали
абстрактный:  абстрактных
тег:  теги
зайти:  зайти
сливать:  сливаю сливать
похожий:  похожие
конец:  конца
мина:  мин
технический:  техническая
чулан:  чулан
настройка:  настройка
мой:  моей
условие:  условии
заинтересовать:  заинтересовать
пара:  паре
добавить:  добавить
отлично:  отлично
вопрос:  вопрос
иметь:  имеет
строгий:  строгих
разрез:  разрезе
ульянов:  ульянов
карма:  карма
линк:  линки
осознать:  осознал
