нести:  несут
смысловой:  смысловой
комментарий:  комментарии комментариев
профиль:  профиль
дзен:  дзен
вопрос:  вопросу
другой:  другими
думать:  думаете
меню:  меню
прочтение:  прочтение
поддержка:  поддержка
голос:  голосов
оценка:  оценка оценки
версия:  версию
рейтинг:  рейтинг
авг:  авг
хаба:  хабы
галочка:  галочка
уместный:  уместней
сутки:  сутки
вернуться:  вернуться
юзабельный:  юзабельной
определяться:  определялось
общениеюзабилитихабрахабра:  общениеюзабилитихабрахабр
поиск:  поиск
ы:  ы
удобно:  удобно
закладка:  закладки
обновить:  обновить
плюс:  плюс плюса
положительный:  положительная
хороший:  лучшие
проблема:  проблем проблема
история:  истории
случайно:  случайно
старый:  старую
язык:  язык языка
количество:  количество
становиться:  становится
вообщий:  вообщем
пара:  пару
минус:  минус
поставить:  поставил
сделать:  сделаны
вместо:  вместо
хабра:  хабр
воспринимать:  воспринимаю
удобный:  удобней
изображение:  изображениям
нагрузка:  нагрузки
крестик:  крестик
просить:  прошу
размещаться:  размещалась
хотеть:  хотел
суммарный:  суммарная
отрицательный:  отрицательная
точнее:  точнее
пользователь:  пользователь
просмотр:  просмотров
поменять:  поменять
яндекс:  яндекс
знак:  знак знаком
слово:  словами
публикация:  публикации
тег:  теги
взгляд:  взгляд
решение:  решения
анатолий:  анатолий
похожий:  похожие
пострадать:  пострадавших
гораздо:  гораздо
картинка:  картинок
стандарт:  стандартам
мина:  мин
прощение:  прощения
технический:  техническая
положение:  положение
настройка:  настройка
добавить:  добавить
выбрать:  выбрать
карма:  карма
панелька:  панелька
браузер:  браузере
