тэг:  тэги тэгов тэг
комментарий:  комментарии
профиль:  профиль
дзен:  дзен
показывать:  показывать
меню:  меню
прочтение:  прочтение
главный:  главной
поддержка:  поддержка
облако:  облако
находиться:  находится
голос:  голосов
версия:  версию
рейтинг:  рейтинг
авг:  авг
хаба:  хабы
самый:  самые самым
место:  месте
форма:  формой
сутки:  сутки
вернуться:  вернуться
добавление:  добавления
другой:  другому
поиск:  поиск
удобно:  удобно
закладка:  закладки
момент:  моментом
обновить:  обновить
подумать:  подумают
максимальный:  максимальной
друг:  другом
хороший:  лучшие
пройти:  пройдет
вид:  виде
история:  истории
нежели:  нежели
старый:  старую
язык:  язык языка
пользователь:  пользователя пользователю пользователь
делать:  делать
идея:  идеи идея
условие:  условия
количество:  количество
нажать:  нажал
вероятность:  вероятность
популярный:  популярные
вообщий:  вообщем
присутсвовать:  присутсвуют
добавляться:  добавляться
хабра:  хабр
редактирование:  редактирования
функциональность:  функциональность
нажатие:  нажатии
юзабилить:  юзабилити
минимум:  минимум
комфортный:  комфортные
пример:  примеры
сообщение:  сообщение
собственно:  собственно
хабратред:  хабратред
ужастъ:  ужастъ
тяжёлый:  тяжелым
просмотр:  просмотров
размещать:  размещаю
яндекс:  яндекс
выглядеть:  выглядеть
путаться:  путаться
иначе:  иначе
публикация:  публикации
автоматически:  автоматически
тег:  теги
анатолий:  анатолий
ввид:  ввиде
похожий:  похожие
область:  область
придерживаться:  придерживаясь
выводить:  выводить
набрать:  набрать
ссылка:  ссылок
причём:  причем
мина:  мин
технический:  техническая
действие:  действия
настройка:  настройка
геометрически:  геометрически
пускай:  пускай
добавиться:  добавился
использование:  использование
поле:  поле полем
юзабилититэгиидеихабрахабра:  юзабилититэгиидеихабрахабр
добавить:  добавить
обеспечить:  обеспечит
являться:  является
замечательный:  замечательное
специалист:  специалисты
один:  одно
карма:  карма
нужный:  нужен
таг:  таги
