основать:  основанных
похожий:  похожие
хороший:  лучшие
перекодировка:  перекодировки
таблица:  таблицами
пример:  примеров
комментарий:  комментарии
профиль:  профиль
вид:  виде
вполне:  вполне
история:  истории
дзен:  дзен
развиватель:  развиватель
старый:  старую
совершенно:  совершенно
язык:  язык языка
мина:  мин
множество:  множество
приходить:  приходит
меню:  меню
прочтение:  прочтение
поддержка:  поддержка
технический:  техническая
например:  например
настройка:  настройка
версия:  версию
рейтинг:  рейтинг
комментариикодировкипочта:  комментариикодировкипочта
количество:  количество
авг:  авг
хаба:  хабы
алексей:  алексей
смешной:  смешным
сутки:  сутки
вернуться:  вернуться
добавить:  добавить
капрановый:  капранов
ролик:  ролику
поиск:  поиск
просмотр:  просмотров
вирусный:  вирусных
почта:  почту
яндекс:  яндекс
хабра:  хабр
необязательно:  необязательно
компания:  компаний
эротика:  эротике
порнография:  порнографией
публикация:  публикации
карма:  карма
закладка:  закладки
тег:  теги
обновить:  обновить
такой:  таком такому
коммент:  комментов
буква:  буква
