форма:  форма форме форму
опыт:  опыт
комментарий:  комментарии
профиль:  профиль
дзен:  дзен
интернет:  интернет интернете интернета
меню:  меню
прочтение:  прочтение
странный:  странная странных
поддержка:  поддержка
структура:  структура
голос:  голосов
пук:  пуках
версия:  версию
рейтинг:  рейтинг
авг:  авг
хаба:  хабы
сеть:  сети
иметь:  имеющих имеет
дмитрий:  дмитрий
шар:  шар
сутки:  сутки
вернуться:  вернуться
поиск:  поиск
какой:  какую
работа:  работы
спросить:  спросить
сравнить:  сравнить
закладка:  закладки
обновить:  обновить
трёхмерный:  трехмерных трехмерная
интересно:  интересно
хороший:  лучшие хороший
история:  истории
поэтому:  поэтому
потратить:  потратить
старый:  старую
никто:  никто
пихтый:  пихто
язык:  язык языка
куб:  куб
найти:  найти
хотеться:  хочется
например:  например
оружие:  оружие
речь:  речь
количество:  количество
карта:  карта карту
честно:  честно
кой:  коем
навигация:  навигация
плоскость:  плоскость
представление:  представление
просмотр:  просмотра просмотров
вещь:  вещей вещь
возникать:  возникает
хабра:  хабр
хотеть:  хочу хотел
нарисовать:  нарисовать
друг:  друзей
разный:  разное
картинка:  картинка
вебстраничка:  вебстраничек
старт:  старт
подумать:  подумать
группа:  группу
абстрагироваться:  абстрагируемся
браузер:  браузерах
начинать:  начинать
интернетаформа:  интернетаформа
попытка:  попыток попытки
минимум:  минимум
свой:  своими
негатив:  негатива
интересовать:  интересует
случай:  случае
начать:  начать
некоторый:  некоторое
мертворождённый:  мертворожденная
пользователь:  пользователь
яндекс:  яндекс
организовать:  организовать
способ:  способом
знакомый:  знакомых
публикация:  публикации
идти:  идет
тег:  теги
свежевыпечь:  свежевыпеченной
интересоваться:  интересовался
альтернативный:  альтернативным
похожий:  похожие
таковой:  таковой
измерить:  измерить
мина:  мин
голова:  голове
технический:  техническая
чулан:  чулан
настройка:  настройка
представлять:  представляем
тема:  темой
решить:  решил
добавить:  добавить
странность:  странности
ощущение:  ощущение ощущения
вопрос:  вопроса
карма:  карма
перемещение:  перемещение
образ:  образ
красивый:  красивая
интернетаальтернативный:  интернетаальтернативная
говорить:  говоря
адекватный:  адекватное
