опыт:  опыт
комментарий:  комментарии
профиль:  профиль
полочка:  полочкам
вполне:  вполне
дзен:  дзен
список:  списка списке список списку
упорядочивание:  упорядочиванию
исходить:  исходя
кстати:  кстати
прочтение:  прочтение
меню:  меню
странный:  странная
поддержка:  поддержка
версия:  версию
рейтинг:  рейтинг
авг:  авг
хаба:  хабы
прочитать:  прочитав
любопытство:  любопытства
иметь:  имеющих
дмитрий:  дмитрий
разложить:  разложена
сутки:  сутки
вернуться:  вернуться
поиск:  поиск
работа:  работы
лазить:  лазить
ткнуть:  ткнуть
поудалять:  поудаляв
технически:  технически
смысл:  смысл
закладка:  закладки
обновить:  обновить
стих:  стихов
уверенно:  уверенно
отличие:  отличие
такой:  такому такого
область:  области
хороший:  лучшие
профессионал:  профессионалами
появиться:  появилось
история:  истории
имя:  имена
старый:  старую
пихтый:  пихто
язык:  язык языка
пофантазировать:  пофантазировать
интересный:  интересные
например:  например
ответить:  ответили
гадать:  гадать
понажимать:  понажимать
вебсёрфер:  вебсерфер
час:  час
количество:  количество
ящик:  ящиков
блог:  блогах
посмотреть:  посмотреть
попробовать:  попробуйте попробовать
знакомый:  знакомым знакомых
каталог:  каталогов
спам:  спам
интернет:  интернете интернета
склонность:  склонность
вывод:  выводы
хабра:  хабр
последний:  последний
знать:  знаю знаешь
являться:  являющихся
раздел:  разделам
страница:  страницам
впрямую:  впрямую
месяц:  месяц
наугад:  наугад
виноватый:  виновата
прикольно:  прикольно
любимый:  любимых
скучать:  скучающий
дело:  дела
должный:  должен
книга:  книге
скрываться:  скрывается
укладываться:  укладывается
алфавитный:  алфавитный
информация:  информация
предсказуемый:  предсказуем
наличие:  наличия
мой:  моих
задать:  задать
отметиться:  отметившись
побродить:  побродить
результат:  результат
просмотр:  просмотров
пользователь:  пользователь
полный:  полного
яндекс:  яндекс яндекса
порядок:  порядке
публикация:  публикации
тег:  теги
задача:  задача
похожий:  похожие
привлекательный:  привлекательные
неинтересный:  неинтересно
сделать:  сделать
спрашивать:  спрашивайте
сайт:  сайтов
раскладывание:  раскладыванию
мина:  мин
реализовать:  реализуема
технический:  техническая
чулан:  чулан
создание:  создания
настройка:  настройка
думать:  думаешь
вроде:  вроде
добавить:  добавить
человеческий:  человеческая
новость:  новости
закинуть:  закинула
судьба:  судьба
представление:  представления
вопрос:  вопрос
вещь:  вещь
наверное:  наверное
карма:  карма
свой:  своим
обязательность:  обязательность
