блог:  блог
писать:  пишу
комментарий:  комментарии
профиль:  профиль
дзен:  дзен
лениво:  лениво
меню:  меню
обзор:  обзорах обзоры обзор
прочтение:  прочтение
поддержка:  поддержка
голос:  голосов
версия:  версию
рейтинг:  рейтинг
авг:  авг
хаба:  хабы
дмитрий:  дмитрий
собственный:  собственное
сутки:  сутки
вернуться:  вернуться
создать:  создать
поиск:  поиск
перевод:  переводы перевод
авторитетный:  авторитетной
закладка:  закладки
подразумевать:  подразумевает
обновить:  обновить
стать:  статей
качественный:  качественный
интересно:  интересно
хороший:  лучшие
история:  истории
старый:  старую
язык:  язык языка
например:  например
делать:  делать делал делаю
хабра:  хабре хабр
количество:  количество
факт:  факт
пресса:  прессы
поместить:  поместить
колонка:  колонку колонка
чужой:  чужих
думать:  думаю
засунуть:  засунуть
ревить:  ревью
хотеть:  хотите
группа:  группу
краткий:  краткие
материал:  материал
вобщий:  вобщем
регулярный:  регулярные
проанализировать:  проанализированные
удовольствие:  удовольствием
собственно:  собственно
пользователь:  пользователь
просмотр:  просмотров
яндекс:  яндекс
читать:  читает
который:  которую
информация:  информации
публикация:  публикации
тег:  теги
тема:  теме
сливать:  сливаю
похожий:  похожие
мина:  мин
мнение:  мнение
технический:  техническая
перевести:  переведенные
настройка:  настройка
раздел:  раздел
свой:  свой
некуда:  некуда
добавить:  добавить
статья:  статьи
сми:  сми
ульянов:  ульянов
карма:  карма
нужный:  нужен
