несколько:  нескольких
популярный:  популярными популярен
похожий:  похожие
июл:  июл
интересно:  интересно
хороший:  лучшие
титов:  титов
комментарий:  комментарии
профиль:  профиль
история:  истории
дзен:  дзен
аудитория:  аудиторий аудитории
старый:  старую
ресурс:  ресурсов ресурсы
язык:  язык языка
основное:  основном
мина:  мин
прочтение:  прочтение
меню:  меню
телефония:  телефонии
поддержка:  поддержка
технический:  техническая
пользоваться:  пользуются пользуется
чулан:  чулан
интересовать:  интересует
настройка:  настройка
версия:  версию
популярность:  популярность
рейтинг:  рейтинг
среди:  среди
количество:  количество
становиться:  становится становились
хаба:  хабы
неожиданный:  неожиданная
российский:  российских
сутки:  сутки
вернуться:  вернуться
вроде:  вроде
который:  которым
латиноамериканец:  латиноамериканцы
получаться:  получается
добавить:  добавить
павел:  павел
индиец:  индийцев
поиск:  поиск
пользователь:  пользователь пользователей
региональный:  региональных
просмотр:  просмотров
протокол:  протоколом
создаваться:  создавался
яндекс:  яндекс
русскоязычный:  русскоязычные
хабра:  хабр
страна:  странах
карма:  карма
происходить:  происходит
публикация:  публикации
закладка:  закладки
тег:  теги
обновить:  обновить
получиться:  получилось
социальный:  социальные
