команда:  команды команда
иметься:  имеется
англоязычный:  англоязычного
опыт:  опыт
комментарий:  комментарии
профиль:  профиль
вполне:  вполне
дзен:  дзен
яндексрупоискблокнотиктрафикдорыоптимист:  яндексрупоискблокнотиктрафикдорыоптимист
всерьёз:  всерьез
меню:  меню
бегун:  бегуном бегун
прочтение:  прочтение
юзер:  юзера
поддержка:  поддержка
обещать:  обещают
находиться:  находится
голос:  голосов
мутный:  мутною
версия:  версию
мастер:  мастерам мастера
рейтинг:  рейтинг
такой:  такую
стенание:  стенаний
хаба:  хабы
самый:  самые самый
выдача:  выдачи
дорвей:  дорвеи дорвеями
собственный:  собственное
весело:  весело
сутки:  сутки
отвечать:  отвечают
начало:  начале
вернуться:  вернуться
итак:  итак
поиск:  поиск
элитный:  элитный
спрятаться:  спрячешься
конверт:  конверта
стоить:  стоит
выкатить:  выкатить
закладка:  закладки
обновить:  обновить
рекламодатель:  рекламодатели
вариант:  вариант вариантов
оптимист:  оптимиста оптимист
рассматривать:  рассматривать
другой:  другим
подсесть:  подсели
клик:  клика клики
интересно:  интересно
рупоиск:  рупоиск рупоиска рупоисков
поделать:  поделаешь
хороший:  лучшие
непонятно:  непонятно
блокнотик:  блокнотиков блокнотик блокнотика
история:  истории
тёмный:  темной
старый:  старую старые
потечь:  потекли
язык:  язык языка
договориться:  договориться
дружеский:  дружеские
весомый:  весомые
например:  например
ждать:  ждать
схема:  схему
горячо:  горячо
сторона:  стороны
сотня:  сотни
количество:  количество
давать:  давать
игла:  иглу
нигде:  нигде
готовый:  готов готовы
вебальт:  вебальты
ребята:  ребят ребята
любой:  любом
хабра:  хабр
река:  рекою
ответ:  ответа
предоставить:  предоставить
рыдать:  рыдают
некий:  некий
стёб:  стеба
сделать:  сделала сделать
значительный:  значительное
заявление:  заявления
открытый:  открытого
наносить:  наносят
костяк:  костяк
дорвейный:  дорвейного
дело:  дела
сильно:  сильно
наверняка:  наверняка
игра:  игры
составлять:  составляли
рядовой:  рядового
удар:  удар
дешёвый:  дешевого
любимый:  любимый
случай:  случае
забанить:  забанил
система:  системы
база:  базе
стать:  стали
пользователь:  пользователь
пострадать:  пострадает
просмотр:  просмотров
аргумент:  аргументы
смелый:  смелый
занимать:  занимают
симметричный:  симметричного
яндекс:  яндекс
жертва:  жертву
ужесточать:  ужесточает
громко:  громко
понятно:  понятно
предать:  преданные
подобный:  подобных
ответный:  ответный ответных
публикация:  публикации
связь:  связей
многое:  многое
сёрфер:  серфер
тег:  теги
решение:  решения
стадия:  стадии
партнёрство:  партнерства
похожий:  похожие
отнекиваться:  отнекивался
тестирование:  тестирования
слезть:  слезут
мина:  мин
чулан:  чулан
создание:  создания
программа:  программ
технический:  техническая
настройка:  настройка
жест:  жест
дорвейщик:  дорвейщики
принести:  принести
свой:  свой
отчаянно:  отчаянно
магазин:  магазинов
трафик:  трафика
правило:  правила
добавить:  добавить
владелец:  владельцев
реальный:  реальный
учитывать:  учитывая
вопрос:  вопрос
отношение:  отношения
фид:  фид
любим:  любим
действие:  действий
карма:  карма
переход:  переходе
условие:  условиях
реализовать:  реализовать
сен:  сен
место:  место
рунет:  рунете
ответить:  ответит
дора:  доры
