хабравойна:  хабравойны
похожий:  похожие
хороший:  лучшие
комментарий:  комментарии
изменение:  изменения
профиль:  профиль
история:  истории
дзен:  дзен
первый:  первой
больший:  большим больший
старый:  старую
карьера:  карьера
новичок:  новички
язык:  язык языка
мина:  мин
изменить:  изменили
меню:  меню
прочтение:  прочтение
регистрация:  регистрации
поддержка:  поддержка
технический:  техническая
голос:  голосов голос
спустя:  спустя
настройка:  настройка
версия:  версию
мотолог:  мотолога
момент:  момента
рейтинг:  рейтинг рейтингом
количество:  количество
хаба:  хабы
день:  дней
сайт:  сайт
голосовать:  голосовать
сутки:  сутки
смотреть:  см
вес:  вес
карма:  карме карма
голосование:  голосование
вернуться:  вернуться
добавить:  добавить
поиск:  поиск
просмотр:  просмотров
яндекс:  яндекс
иметь:  имеет
катаклизм:  катаклизм
кармахабрахабра:  кармахабрахабр
хабра:  хабр
дорвейщик:  дорвейщиками
скучать:  скучающими
публикация:  публикации
закладка:  закладки
тег:  теги
обновить:  обновить
человек:  людей
сен:  сен
друг:  друзьями
кармограф:  кармографе
