один:  одним
комментарий:  комментарии комментариям комментариев
профиль:  профиль
дзен:  дзен
первый:  первую
понимать:  понимает
меню:  меню
прочтение:  прочтение
сумма:  сумму
поддержка:  поддержка
голос:  голосов
ограничивать:  ограничивать
насколько:  насколько
версия:  версию
рейтинг:  рейтинг
карма:  карму карме кармы карма
хаба:  хабы
сутки:  сутки
вернуться:  вернуться
поиск:  поиск
балл:  баллы баллов
закладка:  закладки
обновить:  обновить
хороший:  лучшие
проблема:  проблем
история:  истории
развиватель:  развиватель
старый:  старую
язык:  язык языка
количество:  количество
рассмотрение:  рассмотрения
течение:  течение
пара:  пару
кармический:  кармической
голосование:  голосования голосование
хабра:  хабр
отдавать:  отдаваемых
мах:  махом
число:  числом
маленький:  маленьким
выдавать:  выдавать
калька:  калька
вариант:  вариантов
бессмысленность:  бессмысленности
полный:  полная
вид:  виду
система:  системы
капрановый:  капранов
просмотр:  просмотров
яндекс:  яндекс
обкатать:  обкатанной
публикация:  публикации
считать:  считать
тег:  теги
зависеть:  зависящим
похожий:  похожие
тред:  треде
скрывать:  скрывать
мина:  мин
технический:  техническая
класс:  класс
настройка:  настройка
алексей:  алексей
добавить:  добавить
видеть:  вижу
копилка:  копилку
отменить:  отменить
сен:  сен
решаться:  решается
